,title_maart,title_april,published_at_maart,views_maart,rank_in_region_maart,views_april,rank_in_region_april,country_april,days_since_upload_april,duration_in_minutes_april,category_name_april,rank_change
0,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2008266,9,11697203.0,47,Libanon,31,2.9,Music,38
1,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5737538,12,38480951.0,22,Algerije,30,3.2,Entertainment,10
2,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5737538,12,38481408.0,14,Jemen,30,3.2,Entertainment,2
3,Mahmoud El Esseily -Kol Sana - Wadi Degla Ramadan 2025 محمود العسيلي - كل سنة - وادي دجلة رمضان ٢٠٢٥,Mahmoud El Esseily -Kol Sana - Wadi Degla Ramadan 2025 محمود العسيلي - كل سنة - وادي دجلة رمضان ٢٠٢٥,2025-02-28 18:20:16,254906,21,2196947.0,22,Irak,31,2.0,Music,1
4,Mahmoud El Esseily -Kol Sana - Wadi Degla Ramadan 2025 محمود العسيلي - كل سنة - وادي دجلة رمضان ٢٠٢٥,Mahmoud El Esseily -Kol Sana - Wadi Degla Ramadan 2025 محمود العسيلي - كل سنة - وادي دجلة رمضان ٢٠٢٥,2025-02-28 18:20:16,254906,21,2196947.0,8,Koeweit,31,2.0,Music,-13
5,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,7,30400086.0,35,Oeganda,34,0.6,Entertainment,28
6,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,38,Oeganda,33,1.2,Entertainment,28
7,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,50,Zimbabwe,33,1.2,Entertainment,40
8,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,38,Malta,33,1.2,Entertainment,28
9,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20988527,15,51493926.0,42,Oeganda,33,0.2,Comedy,27
